Name,degree centrality,closeness centrality,betweenness centrality
Q0080,0.00039603960396039607,0.0,0.0
YBL099W,0.021584158415841586,0.0015841584158415843,0.0005226883978830479
YJR121W,0.02514851485148515,0.07920638152080003,0.0022434247676237197
Q0085,0.0013861386138613863,0.0,0.0
YDR298C,0.0009900990099009901,0.0010024752475247525,2.723430162348896e-06
YDR377W,0.0011881188118811883,0.0010024752475247525,0.0
YKL016C,0.0013861386138613863,0.06261140818217978,2.4457541300179145e-06
YML081C-A,0.0011881188118811883,0.06078577357064308,4.644434135134072e-07
YPL078C,0.0017821782178217822,0.10088754835748474,1.0307239610585606e-05
Q0130,0.00039603960396039607,0.0,0.0
Q0250,0.0005940594059405942,0.0,0.0
YBR024W,0.0007920792079207921,0.00019801980198019803,3.439203100345685e-05
YBR037C,0.0005940594059405942,0.00039603960396039607,1.3726862882366668e-07
YER154W,0.0011881188118811883,0.000594059405940594,2.121424263638485e-06
Q0275,0.00019801980198019803,0.0,0.0
R0020C,0.0005940594059405942,0.0,0.0
YBL056W,0.005148514851485149,0.00019801980198019803,3.592788838136613e-05
YBR217W,0.018019801980198022,0.00419009900990099,0.0005505941110454408
YDR523C,0.008910891089108912,0.013949429753101893,0.0002695023556255648
R0030W,0.00039603960396039607,0.0,0.0
YOR101W,0.0011881188118811883,0.05395170539097998,4.737921919228285e-05
YOR351C,0.007920792079207921,0.12348919139493883,0.0
YAL001C,0.00019801980198019803,0.0,0.0
YBR123C,0.0015841584158415843,0.00019801980198019803,8.2831812593024e-05
YAL002W,0.0015841584158415843,0.0,0.0
YCL018W,0.030891089108910894,0.005569306930693069,0.0011122692874139914
YDR171W,0.01207920792079208,0.013930919809538206,0.00040950396010183123
YGL206C,0.012673267326732674,0.03218025189526171,0.0006106119785813
YKR026C,0.016435643564356436,0.0821036720176872,0.0016083229663443018
YLR148W,0.0037623762376237627,0.06516667367922209,0.0002930617116624518
YLR396C,0.0013861386138613863,0.05145288999986035,2.654874453365411e-05
YMR231W,0.0013861386138613863,0.05172006054108596,2.3793228996102225e-07
YPL045W,0.0013861386138613863,0.05163166431261359,0.0
YAL003W,0.0005940594059405942,0.0,0.0
YBR118W,0.020792079207920793,0.002422961397263322,0.00041776039436243126
YKL081W,0.005742574257425743,0.05283043155291891,0.00026512440353144555
YML064C,0.032475247524752476,0.12193964067344416,0.0035358770392696333
YAL004W,0.00039603960396039607,0.0,0.0
YGL181W,0.008712871287128714,0.030452658169042707,0.000864458780165379
YML109W,0.0067326732673267334,0.06976563876651984,0.00018296835177336937
YAL005C,0.0029702970297029703,0.0,0.0
YAR002W,0.0025742574257425744,0.00019801980198019803,5.9908752355627366e-05
YCL028W,0.004356435643564357,0.002662266226622663,5.708983364233562e-05
YDR192C,0.006138613861386139,0.006255862428348098,0.000261903221969896
YHR069C,0.0023762376237623766,0.016125391904978796,2.851044667687633e-06
YLR310C,0.01405940594059406,0.06960380601469711,0.0007380588765965171
YLR335W,0.0037623762376237627,0.06332297654477331,6.243706396420164e-05
